-1 19.612299 19.961372 -0.040000 -0.004000
0 30.942207 17.889332 37.598083 -6.938060
1 30.318752 24.200264 35.573280 14.029650
2 26.590902 29.306957 22.602249 30.208456
3 20.835768 31.817356 3.806002 36.687702
4 14.647668 31.114483 -14.618316 32.873581
5 9.663491 27.453142 -28.139952 21.218849
6 7.156767 21.829893 -34.446602 5.212615
7 7.754478 15.710872 -32.816448 -11.688898
8 11.303990 10.676740 -23.561979 -26.197378
9 16.908022 8.048301 -8.052924 -35.048260
10 23.121542 8.561245 10.762719 -35.258274
11 28.282528 12.148732 27.966137 -25.297838
12 40.005341 18.625986 20.984388 -1.425016
13 39.167786 25.908276 20.130348 6.082222
14 35.884632 32.460464 16.630812 12.742517
15 30.557381 37.487648 11.035926 17.643816
16 23.835651 40.383755 4.185005 20.199564
17 16.535137 40.804214 -2.978936 20.210281
18 9.537078 38.704987 -9.574859 17.827543
19 3.681971 34.344482 -14.889183 13.462027
20 -0.329875 28.250488 -18.417387 7.682477
21 -2.020166 21.155785 -19.863260 1.135365
22 -1.188008 13.910975 -19.121595 -5.507105
23 2.067019 7.384032 -16.264469 -11.578136
24 7.356585 2.358022 -11.539598 -16.441488
25 14.048720 -0.561471 -5.378847 -19.526577
26 21.341530 -1.018917 1.596035 -20.385603
27 28.357306 1.047030 8.591532 -18.774727
28 34.247364 5.393411 14.708437 -14.744634
29 38.295067 11.499130 19.068104 -8.706039
30 49.661827 18.883753 14.193606 -0.551861
31 48.877220 26.866274 13.832047 3.230246
32 46.051792 34.372849 12.466534 6.769665
33 41.378822 40.890812 10.209877 9.798708
34 35.178165 45.975449 7.246196 12.098495
35 27.873688 49.280502 3.809473 13.517196
36 19.964233 50.581547 0.158548 13.978360
37 11.989244 49.791191 -3.447021 13.479910
38 4.491984 46.964584 -6.766828 12.085956
39 -2.017436 42.295303 -9.593868 9.914557
40 -7.096577 36.102036 -11.763041 7.124065
41 -10.400530 28.806589 -13.155209 3.900264
42 -11.705089 20.905457 -13.698124 0.445335
43 -10.921839 12.935935 -13.366030 -3.031390
44 -8.104009 5.439931 -12.178829 -6.321192
45 -3.442980 -1.072707 -10.201351 -9.223301
46 2.744724 -6.158715 -7.542786 -11.552782
47 10.038651 -9.471409 -4.355384 -13.149663
